X,Data Status,Date,Partner,Offer,Leads,Exclusive Auto Converted,Exclusive Auto Pct Gross,Agent Conversion Eligible,Agent Converted,Agent Conversion Pct,Avg Rev Per Agent Conv,Avg Cost,Avg Scrub Cost,Sum Cost,Sum Scrub Cost,Average Auto Revenue,Sum Auto Revenue,Avg Agent Revenue,Sum of Agent Revenue,Avg Revenue,Sum Revenue,Avg Income,Sum Income,
Jan'22,Regular,1/1/22,Partner_34,Offer_01,45,0,0,45,3,6.67,36.67,2.74,1.92,123.27,86.37,0,0,2.44,110,2.44,110,0.53,23.63,
Jan'22,Regular,1/1/22,Partner_34,Offer_14,7,0,0,7,0,0,0,2,1.4,14.03,9.83,0,0,0,0,0,0,-1.4,-9.83,
Jan'22,Regular,1/1/22,Partner_34,Offer_07,30,0,0,30,2,6.67,56,2.28,1.6,68.26,47.86,0,0,3.73,112,3.73,112,2.14,64.14,
Jan'22,Regular,1/1/22,Partner_34,Offer_09,50,0,0,50,1,2,25,2.89,2.02,144.34,101.14,0,0,0.5,25,0.5,25,-1.52,-76.14,
Jan'22,Regular,1/1/22,Partner_35,Offer_07,5,2,40,3,0,0,0,3.2,2.88,16.01,14.41,8.11,40.57,0,0,8.11,40.57,5.23,26.16,
Jan'22,Regular,1/1/22,Partner_36,Offer_09,26,0,0,26,5,19.23,29,4.47,4.47,116.1,116.1,0,0,5.58,145,5.58,145,1.11,28.9,
Jan'22,Regular,1/1/22,Partner_36,Offer_07,14,0,0,14,1,7.14,5,4.04,4.04,56.51,56.51,0,0,0.36,5,0.36,5,-3.68,-51.51,
Feb'22,Regular,2/1/22,Partner_01,Offer_01,102,0,0,102,18,17.65,34.11,3.02,2.26,308,231,0,0,6.02,614,6.02,614,3.75,383,
Feb'22,Regular,2/1/22,Partner_01,Offer_02,1,1,100,0,0,0,0,3,2.25,3,2.25,3,3,0,0,3,3,0.75,0.75,
Feb'22,Regular,2/1/22,Partner_01,Offer_03,45,0,0,45,6,13.33,12.67,2.78,2.08,124.9,93.77,0,0,1.69,76,1.69,76,-0.39,-17.77,
Feb'22,Regular,2/1/22,Partner_01,Offer_04,112,112,100,0,0,0,0,11.65,8.74,"1,305.22",978.67,22,"2,464.00",0,0,22,"2,464.00",13.26,"1,485.33",
Feb'22,Regular,2/1/22,Partner_01,Offer_05,12,0,0,12,0,0,0,2,1.5,24,18,0,0,0,0,0,0,-1.5,-18,
Feb'22,Regular,2/1/22,Partner_01,Offer_06,681,0,0,681,182,26.73,20.92,2.01,1.51,"1,368.81","1,028.31",0,0,5.59,"3,807.00",5.59,"3,807.00",4.08,"2,778.69",
Feb'22,Regular,2/1/22,Partner_01,Offer_07,57,0,0,57,4,7.02,44,2.81,2.11,160,120,0,0,3.09,176,3.09,176,0.98,56,
Feb'22,Regular,2/1/22,Partner_01,Offer_08,7,0,0,7,2,28.57,5,3.43,2.57,24,18,0,0,1.43,10,1.43,10,-1.14,-8,
Feb'22,Regular,2/1/22,Partner_01,Offer_09,19,0,0,19,5,26.32,31.6,2.22,1.67,42.15,31.65,0,0,8.32,158,8.32,158,6.65,126.35,
Feb'22,Regular,2/1/22,Partner_02,Offer_01,44,0,0,44,4,9.09,22.75,1.3,0.98,57.22,42.97,0,0,2.07,91,2.07,91,1.09,48.03,
Feb'22,Coreg,2/1/22,Partner_02,Offer_10,9,0,0,9,0,0,0,1,0.75,9,6.75,0,0,0,0,0,0,-0.75,-6.75,
